WKT,name,description
"POINT (-75.1987596 39.941754)",Point 1,
"POINT (-75.1987649 39.9417396)",Point 2,
"POINT (-75.1987716 39.9417211)",Point 3,
"POINT (-75.1987757 39.9417108)",Point 4,
"POINT (-75.198777 39.9417005)",Point 5,
"POINT (-75.198781 39.9416872)",Point 6,
"POINT (-75.1987891 39.9416718)",Point 7,
"POINT (-75.1987958 39.9416563)",Point 8,
"POINT (-75.1988025 39.9416409)",Point 9,
"POINT (-75.1988079 39.9416306)",Point 10,
"POINT (-75.1988079 39.9416306)",Point 11,
"POINT (-75.1988119 39.9416193)",Point 12,
"POINT (-75.1988159 39.9416029)",Point 13,
"POINT (-75.1988199 39.9415936)",Point 16,
"POINT (-75.1988253 39.9415823)",Point 17,
"POINT (-75.1988199 39.941572)",Point 18,
"POINT (-75.1988065 39.9415638)",Point 19,
"POINT (-75.1987877 39.9415556)",Point 20,
"POINT (-75.1987676 39.9415473)",Point 21,
"POINT (-75.1987488 39.9415443)",Point 22,
"POINT (-75.1987301 39.9415381)",Point 23,
"POINT (-75.1987126 39.941536)",Point 24,
"POINT (-75.1986898 39.9415319)",Point 25,
"POINT (-75.1986697 39.9415288)",Point 26,
"POINT (-75.1986456 39.9415257)",Point 27,
"POINT (-75.1986241 39.9415391)",Point 28,
"POINT (-75.198604 39.9415597)",Point 30,
"POINT (-75.1985866 39.9415916)",Point 32,
"POINT (-75.1985718 39.9416131)",Point 33,
"POINT (-75.1985678 39.9416347)",Point 34,
"POINT (-75.198553 39.9416563)",Point 35,
"POINT (-75.1985423 39.941681)",Point 36,
"POINT (-75.1985289 39.9417057)",Point 37,
"POINT (-75.1985571 39.9417324)",Point 39,
"POINT (-75.1985825 39.9417376)",Point 40,
"POINT (-75.1986121 39.9417437)",Point 41,
"POINT (-75.1986362 39.9417509)",Point 42,
"POINT (-75.1986576 39.941755)",Point 43,
"POINT (-75.1986818 39.9417633)",Point 44,
"POINT (-75.1987032 39.9417694)",Point 45,
"POINT (-75.198726 39.9417756)",Point 46,
"POINT (-75.1987462 39.9417818)",Point 47,
"POINT (-75.1987462 39.9417818)",Point 49,
"POINT (-75.1987582 39.9417674)",Point 50,
