WKT,name,description
"POINT (-75.1988105 39.9417592)",Point 1,
"POINT (-75.1988146 39.9417478)",Point 2,
"POINT (-75.1988199 39.9417345)",Point 3,
"POINT (-75.1988199 39.9417345)",Point 4,
"POINT (-75.1988253 39.9417221)",Point 5,
"POINT (-75.198832 39.9417139)",Point 6,
"POINT (-75.198832 39.9417036)",Point 7,
"POINT (-75.1988374 39.9416933)",Point 8,
"POINT (-75.1988427 39.941682)",Point 9,
"POINT (-75.1988481 39.9416697)",Point 10,
"POINT (-75.1988561 39.9416522)",Point 11,
"POINT (-75.1988602 39.9416399)",Point 12,
"POINT (-75.1988669 39.9416265)",Point 13,
"POINT (-75.1988722 39.9416131)",Point 14,
"POINT (-75.1988803 39.9415957)",Point 15,
"POINT (-75.1988843 39.9415854)",Point 16,
"POINT (-75.1988816 39.9415751)",Point 17,
"POINT (-75.1988843 39.9415648)",Point 18,
"POINT (-75.198883 39.9415556)",Point 19,
"POINT (-75.1988736 39.9415463)",Point 20,
"POINT (-75.1988655 39.9415381)",Point 21,
"POINT (-75.1988535 39.9415329)",Point 22,
"POINT (-75.1988374 39.9415299)",Point 23,
"POINT (-75.1988239 39.9415257)",Point 24,
"POINT (-75.1988052 39.9415247)",Point 25,
"POINT (-75.1987891 39.9415196)",Point 29,
"POINT (-75.1987663 39.9415165)",Point 30,
"POINT (-75.1987448 39.9415103)",Point 31,
"POINT (-75.1987274 39.9415072)",Point 32,
"POINT (-75.1987032 39.9415021)",Point 33,
"POINT (-75.1986724 39.9414949)",Point 34,
"POINT (-75.1986375 39.941497)",Point 35,
"POINT (-75.1986134 39.941498)",Point 36,
"POINT (-75.1985879 39.9415103)",Point 37,
"POINT (-75.1985638 39.941536)",Point 38,
"POINT (-75.198549 39.9415607)",Point 39,
"POINT (-75.1985383 39.9415864)",Point 41,
"POINT (-75.1985343 39.9416059)",Point 42,
"POINT (-75.1985222 39.9416245)",Point 43,
"POINT (-75.1985155 39.9416419)",Point 44,
"POINT (-75.1985061 39.9416635)",Point 45,
"POINT (-75.198494 39.9416831)",Point 46,
"POINT (-75.1984793 39.9417047)",Point 47,
"POINT (-75.1984753 39.9417324)",Point 48,
"POINT (-75.1984873 39.9417592)",Point 49,
"POINT (-75.1985007 39.9417643)",Point 50,
"POINT (-75.1985155 39.9417653)",Point 51,
"POINT (-75.1985302 39.9417715)",Point 52,
"POINT (-75.1985477 39.9417777)",Point 53,
"POINT (-75.1985597 39.9417818)",Point 54,
"POINT (-75.1985772 39.9417838)",Point 55,
"POINT (-75.1985933 39.9417869)",Point 56,
"POINT (-75.1986161 39.941791)",Point 57,
"POINT (-75.1986402 39.9417972)",Point 58,
"POINT (-75.1986496 39.9418003)",Point 59,
"POINT (-75.1986697 39.9418044)",Point 60,
"POINT (-75.1986898 39.9418075)",Point 61,
"POINT (-75.1987059 39.9418116)",Point 62,
"POINT (-75.1987207 39.9418136)",Point 63,
"POINT (-75.1987408 39.9418188)",Point 64,
"POINT (-75.1987609 39.9418219)",Point 65,
"POINT (-75.198781 39.941826)",Point 66,
"POINT (-75.198781 39.941826)",Point 67,
"POINT (-75.1987944 39.9418147)",Point 68,
"POINT (-75.1987998 39.9418003)",Point 69,
"POINT (-75.1987998 39.9418003)",Point 73,
"POINT (-75.1988038 39.9417921)",Point 75,
"POINT (-75.1988038 39.9417921)",Point 76,
