Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Baseline
1,-86.94445754,40.43767351,173.261,,-86.94445754,40.43767351,173.261,,,,,2.134,FIX,2021-06-01 11:20:28.5 UTC-04:00,2021-06-01 11:20:28.5 UTC-04:00,1,1.4,-86.92619664,40.45790787,188.082,2729.269
2,-86.94452142,40.43770279,173.263,,-86.94452142,40.43770279,173.263,,,,,2.134,FIX,2021-06-01 11:21:02.6 UTC-04:00,2021-06-01 11:21:02.6 UTC-04:00,1,1.4,-86.92619664,40.45790787,188.082,2729.676
3,-86.94461647,40.43774566,173.232,,-86.94461647,40.43774566,173.232,,,,,2.134,FIX,2021-06-01 11:22:38.8 UTC-04:00,2021-06-01 11:22:38.8 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2730.371
4,-86.94470342,40.43778564,173.254,,-86.94470342,40.43778564,173.254,,,,,2.134,FIX,2021-06-01 11:23:04.7 UTC-04:00,2021-06-01 11:23:04.7 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2730.965
5,-86.94477660,40.43781898,173.269,,-86.94477660,40.43781898,173.269,,,,,2.134,FIX,2021-06-01 11:23:26.6 UTC-04:00,2021-06-01 11:23:26.6 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2731.515
6,-86.94481000,40.43783461,173.272,,-86.94481000,40.43783461,173.272,,,,,2.134,FIX,2021-06-01 11:23:39.1 UTC-04:00,2021-06-01 11:23:39.1 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2731.734
7,-86.94483025,40.43784597,173.277,,-86.94483025,40.43784597,173.277,,,,,2.134,FIX,2021-06-01 11:24:02.4 UTC-04:00,2021-06-01 11:24:02.4 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2731.699
8,-86.94485409,40.43786714,173.253,,-86.94485409,40.43786714,173.253,,,,,2.134,FIX,2021-06-01 11:24:17.4 UTC-04:00,2021-06-01 11:24:17.4 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2730.953
9,-86.94486773,40.43788932,173.262,,-86.94486773,40.43788932,173.262,,,,,2.134,FIX,2021-06-01 11:24:34.4 UTC-04:00,2021-06-01 11:24:34.4 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2729.618
10,-86.94488196,40.43792092,173.106,,-86.94488196,40.43792092,173.106,,,,,2.134,FLOAT,2021-06-01 11:24:50.3 UTC-04:00,2021-06-01 11:24:50.3 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2727.463
