Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Baseline
1,-86.94442287,40.43771509,173.102,,-86.94442287,40.43771509,173.102,,,,,2.134,FIX,2021-06-01 12:45:59.7 UTC-04:00,2021-06-01 12:45:59.7 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2723.800
2,-86.94456189,40.43777891,173.122,,-86.94456189,40.43777891,173.122,,,,,2.134,FIX,2021-06-01 12:47:17.0 UTC-04:00,2021-06-01 12:47:17.0 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2724.694
3,-86.94468545,40.43783659,173.108,,-86.94468545,40.43783659,173.108,,,,,2.134,FIX,2021-06-01 12:55:25.3 UTC-04:00,2021-06-01 12:55:25.3 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2725.460
4,-86.94475798,40.43786872,173.137,,-86.94475798,40.43786872,173.137,,,,,2.134,FIX,2021-06-01 12:55:42.5 UTC-04:00,2021-06-01 12:55:42.5 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2726.093
5,-86.94479299,40.43788815,173.165,,-86.94479299,40.43788815,173.165,,,,,2.134,FIX,2021-06-01 12:55:58.7 UTC-04:00,2021-06-01 12:55:58.7 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2726.049
6,-86.94480823,40.43790739,173.170,,-86.94480823,40.43790739,173.170,,,,,2.134,FIX,2021-06-01 12:56:12.9 UTC-04:00,2021-06-01 12:56:12.9 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2725.056
7,-86.94481305,40.43793125,173.139,,-86.94481305,40.43793125,173.139,,,,,2.134,FIX,2021-06-01 12:56:33.8 UTC-04:00,2021-06-01 12:56:33.8 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2723.134
8,-86.94479871,40.43795155,173.220,,-86.94479871,40.43795155,173.220,,,,,2.134,FIX,2021-06-01 12:56:45.8 UTC-04:00,2021-06-01 12:56:45.8 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2720.591
9,-86.94476846,40.43796868,173.221,,-86.94476846,40.43796868,173.221,,,,,2.134,FIX,2021-06-01 12:56:59.6 UTC-04:00,2021-06-01 12:56:59.6 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2717.554
10,-86.94472428,40.43798266,173.253,,-86.94472428,40.43798266,173.253,,,,,2.134,FIX,2021-06-01 12:57:14.5 UTC-04:00,2021-06-01 12:57:14.5 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2714.116
11,-86.94468664,40.43799503,173.310,,-86.94468664,40.43799503,173.310,,,,,2.134,FIX,2021-06-01 12:57:28.7 UTC-04:00,2021-06-01 12:57:28.7 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2711.148
12,-86.94465249,40.43801539,173.401,,-86.94465249,40.43801539,173.401,,,,,2.134,FIX,2021-06-01 12:57:45.9 UTC-04:00,2021-06-01 12:57:45.9 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2707.627
13,-86.94462840,40.43804534,173.490,,-86.94462840,40.43804534,173.490,,,,,2.134,FIX,2021-06-01 12:58:03.3 UTC-04:00,2021-06-01 12:58:03.3 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2703.732
14,-86.94462054,40.43807307,173.543,,-86.94462054,40.43807307,173.543,,,,,2.134,FIX,2021-06-01 13:00:02.0 UTC-04:00,2021-06-01 13:00:02.0 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2700.834
15,-86.94462169,40.43810019,173.489,,-86.94462169,40.43810019,173.489,,,,,2.134,FIX,2021-06-01 13:00:14.0 UTC-04:00,2021-06-01 13:00:14.0 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2698.435
16,-86.94463513,40.43813421,173.545,,-86.94463513,40.43813421,173.545,,,,,2.134,FIX,2021-06-01 13:00:23.5 UTC-04:00,2021-06-01 13:00:23.5 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2696.017
17,-86.94466151,40.43818494,173.589,,-86.94466151,40.43818494,173.589,,,,,2.134,FIX,2021-06-01 13:00:38.3 UTC-04:00,2021-06-01 13:00:38.3 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2692.732
18,-86.94469017,40.43823508,173.710,,-86.94469017,40.43823508,173.710,,,,,2.134,FIX,2021-06-01 13:00:55.6 UTC-04:00,2021-06-01 13:00:55.6 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2689.622
19,-86.94469900,40.43825970,173.758,,-86.94469900,40.43825970,173.758,,,,,2.134,FIX,2021-06-01 13:01:10.5 UTC-04:00,2021-06-01 13:01:10.5 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2687.839
20,-86.94469659,40.43829133,173.825,,-86.94469659,40.43829133,173.825,,,,,2.134,FIX,2021-06-01 13:01:38.0 UTC-04:00,2021-06-01 13:01:38.0 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2684.868
21,-86.94467628,40.43832361,173.933,,-86.94467628,40.43832361,173.933,,,,,2.134,FIX,2021-06-01 13:01:57.1 UTC-04:00,2021-06-01 13:01:57.1 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2680.953
22,-86.94464001,40.43834234,174.077,,-86.94464001,40.43834234,174.077,,,,,2.134,FIX,2021-06-01 13:02:21.7 UTC-04:00,2021-06-01 13:02:21.7 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2677.465
23,-86.94458916,40.43835251,174.181,,-86.94458916,40.43835251,174.181,,,,,2.134,FIX,2021-06-01 13:02:37.2 UTC-04:00,2021-06-01 13:02:37.2 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2674.029
24,-86.94453844,40.43835290,174.299,,-86.94453844,40.43835290,174.299,,,,,2.134,FIX,2021-06-01 13:03:03.2 UTC-04:00,2021-06-01 13:03:03.2 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2671.485
